Question,Answer,Category
What is 00:23 + 10:21?,10:44,Hour Adjustment (24h)
What is 05:08 - 20:12?,8:56,Hour Adjustment (24h)
What is 07:07 - 07:59?,23:08,Hour Adjustment (24h)
What is 10:43 + 15:30?,2:13,Hour Adjustment (24h)
What is 13:35 + 15:50?,5:25,Hour Adjustment (24h)
What is 02:23 + 22:45?,1:08,Hour Adjustment (24h)
What is 10:38 - 02:13?,8:25,Hour Adjustment (24h)
What is 12:40 + 14:22?,3:02,Hour Adjustment (24h)
What is 05:18 + 23:29?,4:47,Hour Adjustment (24h)
What is 09:25 + 09:33?,18:58,Hour Adjustment (24h)
What is 15:27 + 20:06?,11:33,Hour Adjustment (24h)
What is 12:52 + 00:06?,12:58,Hour Adjustment (24h)
What is 18:31 + 12:16?,6:47,Hour Adjustment (24h)
What is 16:02 - 19:43?,20:19,Hour Adjustment (24h)
What is 14:53 + 20:47?,11:40,Hour Adjustment (24h)
What is 11:47 - 19:48?,15:59,Hour Adjustment (24h)
What is 17:02 + 16:37?,9:39,Hour Adjustment (24h)
What is 23:17 - 18:17?,5:00,Hour Adjustment (24h)
What is 12:59 - 01:28?,11:31,Hour Adjustment (24h)
What is 13:13 - 17:42?,19:31,Hour Adjustment (24h)
What is 18:04 - 18:48?,23:16,Hour Adjustment (24h)
What is 04:49 + 12:19?,17:08,Hour Adjustment (24h)
What is 22:36 + 22:27?,21:03,Hour Adjustment (24h)
What is 15:49 - 06:29?,9:20,Hour Adjustment (24h)
What is 17:43 - 15:35?,2:08,Hour Adjustment (24h)
What is 09:48 - 20:19?,13:29,Hour Adjustment (24h)
What is 21:32 - 12:56?,8:36,Hour Adjustment (24h)
What is 05:47 - 06:56?,22:51,Hour Adjustment (24h)
What is 00:00 + 13:20?,13:20,Hour Adjustment (24h)
What is 11:47 - 05:18?,6:29,Hour Adjustment (24h)
What is 19:02 + 14:48?,9:50,Hour Adjustment (24h)
What is 23:39 - 19:37?,4:02,Hour Adjustment (24h)
What is 07:45 - 15:50?,15:55,Hour Adjustment (24h)
What is 08:40 + 09:46?,18:26,Hour Adjustment (24h)
What is 22:55 + 03:36?,2:31,Hour Adjustment (24h)
What is 05:57 - 13:50?,16:07,Hour Adjustment (24h)
What is 14:11 + 17:51?,8:02,Hour Adjustment (24h)
What is 20:49 - 23:05?,21:44,Hour Adjustment (24h)
What is 20:21 + 01:04?,21:25,Hour Adjustment (24h)
What is 17:57 - 04:18?,13:39,Hour Adjustment (24h)
What is 23:49 + 11:30?,11:19,Hour Adjustment (24h)
What is 03:36 + 23:08?,2:44,Hour Adjustment (24h)
What is 02:24 - 21:10?,5:14,Hour Adjustment (24h)
What is 03:34 + 17:04?,20:38,Hour Adjustment (24h)
What is 07:54 + 14:27?,22:21,Hour Adjustment (24h)
What is 16:44 + 08:56?,1:40,Hour Adjustment (24h)
What is 03:22 + 12:41?,16:03,Hour Adjustment (24h)
What is 05:53 - 01:57?,3:56,Hour Adjustment (24h)
What is 04:58 + 12:53?,17:51,Hour Adjustment (24h)
What is 06:32 + 14:27?,20:59,Hour Adjustment (24h)
What is 05:50 - 03:35?,2:15,Hour Adjustment (24h)
What is 19:59 + 12:24?,8:23,Hour Adjustment (24h)
What is 17:15 + 17:27?,10:42,Hour Adjustment (24h)
What is 04:23 + 01:23?,5:46,Hour Adjustment (24h)
What is 13:07 + 08:57?,22:04,Hour Adjustment (24h)
What is 06:47 - 11:59?,18:48,Hour Adjustment (24h)
What is 07:15 - 12:58?,18:17,Hour Adjustment (24h)
What is 12:56 - 01:38?,11:18,Hour Adjustment (24h)
What is 05:29 - 12:43?,16:46,Hour Adjustment (24h)
What is 14:17 + 08:57?,23:14,Hour Adjustment (24h)
What is 18:11 + 05:59?,0:10,Hour Adjustment (24h)
What is 21:47 + 12:00?,9:47,Hour Adjustment (24h)
What is 18:14 + 17:43?,11:57,Hour Adjustment (24h)
What is 15:15 - 11:31?,3:44,Hour Adjustment (24h)
What is 10:32 + 02:16?,12:48,Hour Adjustment (24h)
What is 14:53 + 13:25?,4:18,Hour Adjustment (24h)
What is 19:59 + 13:51?,9:50,Hour Adjustment (24h)
What is 15:08 + 17:11?,8:19,Hour Adjustment (24h)
What is 22:16 + 01:19?,23:35,Hour Adjustment (24h)
What is 04:41 - 11:40?,17:01,Hour Adjustment (24h)
What is 19:18 + 22:37?,17:55,Hour Adjustment (24h)
What is 12:26 - 08:02?,4:24,Hour Adjustment (24h)
What is 06:21 - 05:34?,0:47,Hour Adjustment (24h)
What is 17:29 + 05:58?,23:27,Hour Adjustment (24h)
What is 11:04 - 08:58?,2:06,Hour Adjustment (24h)
What is 13:24 + 04:48?,18:12,Hour Adjustment (24h)
What is 15:27 + 21:19?,12:46,Hour Adjustment (24h)
What is 09:11 + 01:24?,10:35,Hour Adjustment (24h)
What is 07:29 - 11:57?,19:32,Hour Adjustment (24h)
What is 13:46 - 07:48?,5:58,Hour Adjustment (24h)
What is 03:49 - 01:02?,2:47,Hour Adjustment (24h)
What is 22:36 + 22:43?,21:19,Hour Adjustment (24h)
What is 16:54 + 15:26?,8:20,Hour Adjustment (24h)
What is 23:53 + 21:59?,21:52,Hour Adjustment (24h)
What is 20:14 + 14:03?,10:17,Hour Adjustment (24h)
What is 18:20 - 19:50?,22:30,Hour Adjustment (24h)
What is 05:24 + 12:07?,17:31,Hour Adjustment (24h)
What is 18:48 + 21:54?,16:42,Hour Adjustment (24h)
What is 22:34 - 09:44?,12:50,Hour Adjustment (24h)
What is 12:55 - 02:52?,10:03,Hour Adjustment (24h)
What is 15:41 + 22:26?,14:07,Hour Adjustment (24h)
What is 00:11 + 10:34?,10:45,Hour Adjustment (24h)
What is 08:32 + 07:22?,15:54,Hour Adjustment (24h)
What is 17:28 - 03:06?,14:22,Hour Adjustment (24h)
What is 06:19 - 16:57?,13:22,Hour Adjustment (24h)
What is 23:22 - 10:24?,12:58,Hour Adjustment (24h)
What is 07:32 - 02:14?,5:18,Hour Adjustment (24h)
What is 08:45 + 10:44?,19:29,Hour Adjustment (24h)
What is 06:19 + 10:13?,16:32,Hour Adjustment (24h)
What is 06:38 + 19:32?,2:10,Hour Adjustment (24h)
What is 12:48 + 00:03?,12:51,Hour Adjustment (24h)
What is 15:08 - 08:12?,6:56,Hour Adjustment (24h)
What is 18:15 - 11:31?,6:44,Hour Adjustment (24h)
What is 15:05 + 00:14?,15:19,Hour Adjustment (24h)
What is 13:39 - 22:26?,15:13,Hour Adjustment (24h)
What is 11:24 + 15:03?,2:27,Hour Adjustment (24h)
What is 08:03 - 00:30?,7:33,Hour Adjustment (24h)
What is 23:56 - 17:07?,6:49,Hour Adjustment (24h)
What is 05:16 + 05:35?,10:51,Hour Adjustment (24h)
What is 15:35 - 08:48?,6:47,Hour Adjustment (24h)
What is 07:08 - 15:57?,15:11,Hour Adjustment (24h)
What is 09:07 + 03:40?,12:47,Hour Adjustment (24h)
What is 22:57 + 15:48?,14:45,Hour Adjustment (24h)
What is 06:58 + 02:35?,9:33,Hour Adjustment (24h)
What is 06:40 - 09:20?,21:20,Hour Adjustment (24h)
What is 06:47 + 09:05?,15:52,Hour Adjustment (24h)
What is 22:13 - 11:00?,11:13,Hour Adjustment (24h)
What is 18:49 - 09:29?,9:20,Hour Adjustment (24h)
What is 15:05 + 10:45?,1:50,Hour Adjustment (24h)
What is 10:48 + 22:58?,9:46,Hour Adjustment (24h)
What is 17:37 - 00:21?,17:16,Hour Adjustment (24h)
What is 05:08 - 00:41?,4:27,Hour Adjustment (24h)
What is 08:58 + 00:33?,9:31,Hour Adjustment (24h)
What is 02:47 + 11:44?,14:31,Hour Adjustment (24h)
What is 07:57 - 14:18?,17:39,Hour Adjustment (24h)
What is 08:30 + 14:57?,23:27,Hour Adjustment (24h)
What is 10:30 - 18:16?,16:14,Hour Adjustment (24h)
What is 16:27 - 02:08?,14:19,Hour Adjustment (24h)
What is 16:30 + 11:21?,3:51,Hour Adjustment (24h)
What is 13:20 + 23:19?,12:39,Hour Adjustment (24h)
What is 21:10 - 10:22?,10:48,Hour Adjustment (24h)
What is 13:57 - 00:11?,13:46,Hour Adjustment (24h)
What is 11:34 - 01:13?,10:21,Hour Adjustment (24h)
What is 01:56 - 19:42?,6:14,Hour Adjustment (24h)
What is 21:08 + 06:22?,3:30,Hour Adjustment (24h)
What is 09:13 - 06:04?,3:09,Hour Adjustment (24h)
What is 23:59 - 10:26?,13:33,Hour Adjustment (24h)
What is 02:29 + 15:00?,17:29,Hour Adjustment (24h)
What is 09:33 + 16:21?,1:54,Hour Adjustment (24h)
What is 10:16 + 14:38?,0:54,Hour Adjustment (24h)
What is 08:08 - 13:49?,18:19,Hour Adjustment (24h)
What is 14:07 + 10:13?,0:20,Hour Adjustment (24h)
What is 06:29 - 03:30?,2:59,Hour Adjustment (24h)
What is 05:30 - 12:24?,17:06,Hour Adjustment (24h)
What is 14:32 - 18:24?,20:08,Hour Adjustment (24h)
What is 05:51 - 11:59?,17:52,Hour Adjustment (24h)
What is 09:52 + 22:36?,8:28,Hour Adjustment (24h)
What is 06:28 + 01:15?,7:43,Hour Adjustment (24h)
What is 02:25 + 10:31?,12:56,Hour Adjustment (24h)
What is 17:57 + 22:00?,15:57,Hour Adjustment (24h)
What is 22:56 + 02:44?,1:40,Hour Adjustment (24h)
What is 16:32 - 08:37?,7:55,Hour Adjustment (24h)
What is 08:07 + 04:56?,13:03,Hour Adjustment (24h)
What is 08:56 + 09:13?,18:09,Hour Adjustment (24h)
What is 11:49 - 20:54?,14:55,Hour Adjustment (24h)
What is 19:00 - 23:42?,19:18,Hour Adjustment (24h)
What is 09:55 - 17:54?,16:01,Hour Adjustment (24h)
What is 07:19 - 18:18?,13:01,Hour Adjustment (24h)
What is 12:32 - 16:50?,19:42,Hour Adjustment (24h)
What is 22:46 + 05:52?,4:38,Hour Adjustment (24h)
What is 10:37 - 01:45?,8:52,Hour Adjustment (24h)
What is 01:17 - 22:16?,3:01,Hour Adjustment (24h)
What is 11:32 + 04:19?,15:51,Hour Adjustment (24h)
What is 01:34 + 16:58?,18:32,Hour Adjustment (24h)
What is 11:30 + 09:33?,21:03,Hour Adjustment (24h)
What is 11:30 - 11:05?,0:25,Hour Adjustment (24h)
What is 01:10 + 06:02?,7:12,Hour Adjustment (24h)
What is 05:56 - 01:45?,4:11,Hour Adjustment (24h)
What is 10:48 - 16:39?,18:09,Hour Adjustment (24h)
What is 17:28 + 01:28?,18:56,Hour Adjustment (24h)
What is 15:41 - 07:16?,8:25,Hour Adjustment (24h)
What is 06:22 - 10:23?,19:59,Hour Adjustment (24h)
What is 12:25 + 18:52?,7:17,Hour Adjustment (24h)
What is 07:31 + 09:10?,16:41,Hour Adjustment (24h)
What is 13:19 + 09:26?,22:45,Hour Adjustment (24h)
What is 09:36 + 08:49?,18:25,Hour Adjustment (24h)
What is 02:41 + 06:05?,8:46,Hour Adjustment (24h)
What is 12:53 + 08:09?,21:02,Hour Adjustment (24h)
What is 02:07 - 06:17?,19:50,Hour Adjustment (24h)
What is 15:54 - 11:56?,3:58,Hour Adjustment (24h)
What is 23:23 - 01:15?,22:08,Hour Adjustment (24h)
What is 14:29 - 03:29?,11:00,Hour Adjustment (24h)
What is 19:10 + 12:12?,7:22,Hour Adjustment (24h)
What is 08:27 - 07:16?,1:11,Hour Adjustment (24h)
What is 00:21 + 04:37?,4:58,Hour Adjustment (24h)
What is 07:48 - 21:20?,10:28,Hour Adjustment (24h)
What is 16:16 + 03:59?,20:15,Hour Adjustment (24h)
What is 00:31 + 10:46?,11:17,Hour Adjustment (24h)
What is 00:36 - 00:38?,23:58,Hour Adjustment (24h)
What is 22:16 + 04:57?,3:13,Hour Adjustment (24h)
What is 04:10 - 18:10?,10:00,Hour Adjustment (24h)
What is 23:00 + 07:16?,6:16,Hour Adjustment (24h)
What is 07:32 - 01:45?,5:47,Hour Adjustment (24h)
What is 03:28 + 21:58?,1:26,Hour Adjustment (24h)
What is 04:35 + 22:35?,3:10,Hour Adjustment (24h)
What is 02:51 - 02:58?,23:53,Hour Adjustment (24h)
What is 14:52 + 02:15?,17:07,Hour Adjustment (24h)
What is 00:30 - 20:50?,3:40,Hour Adjustment (24h)
What is 20:52 + 10:54?,7:46,Hour Adjustment (24h)
What is 14:56 - 09:39?,5:17,Hour Adjustment (24h)
What is 01:53 + 09:46?,11:39,Hour Adjustment (24h)
What is 13:47 - 16:31?,21:16,Hour Adjustment (24h)
What is 01:40 + 00:52?,2:32,Hour Adjustment (24h)
What is 01:40 - 11:19?,14:21,Hour Adjustment (24h)
What is 06:32 - 15:37?,14:55,Hour Adjustment (24h)
What is 15:32 + 16:27?,7:59,Hour Adjustment (24h)
What is 03:00 - 18:21?,8:39,Hour Adjustment (24h)
What is 21:15 + 18:13?,15:28,Hour Adjustment (24h)
What is 23:15 - 16:21?,6:54,Hour Adjustment (24h)
What is 15:14 - 05:39?,9:35,Hour Adjustment (24h)
What is 05:03 - 10:32?,18:31,Hour Adjustment (24h)
What is 17:51 - 07:58?,9:53,Hour Adjustment (24h)
What is 21:38 - 19:45?,1:53,Hour Adjustment (24h)
What is 11:25 - 06:34?,4:51,Hour Adjustment (24h)
What is 00:12 + 19:07?,19:19,Hour Adjustment (24h)
What is 17:14 - 21:03?,20:11,Hour Adjustment (24h)
What is 07:10 - 15:35?,15:35,Hour Adjustment (24h)
What is 19:23 + 04:35?,23:58,Hour Adjustment (24h)
What is 13:47 + 01:04?,14:51,Hour Adjustment (24h)
What is 12:12 - 09:15?,2:57,Hour Adjustment (24h)
What is 08:41 - 22:36?,10:05,Hour Adjustment (24h)
What is 20:40 - 18:51?,1:49,Hour Adjustment (24h)
What is 08:18 - 11:49?,20:29,Hour Adjustment (24h)
What is 22:22 - 06:38?,15:44,Hour Adjustment (24h)
What is 08:10 - 18:22?,13:48,Hour Adjustment (24h)
What is 09:23 - 13:09?,20:14,Hour Adjustment (24h)
What is 03:10 + 20:46?,23:56,Hour Adjustment (24h)
What is 14:32 + 17:58?,8:30,Hour Adjustment (24h)
What is 22:10 - 22:55?,23:15,Hour Adjustment (24h)
What is 01:02 - 15:30?,9:32,Hour Adjustment (24h)
What is 16:55 - 01:50?,15:05,Hour Adjustment (24h)
What is 06:17 + 20:30?,2:47,Hour Adjustment (24h)
What is 00:04 - 02:31?,21:33,Hour Adjustment (24h)
What is 08:45 - 16:51?,15:54,Hour Adjustment (24h)
What is 09:49 - 07:58?,1:51,Hour Adjustment (24h)
What is 05:55 + 16:45?,22:40,Hour Adjustment (24h)
What is 14:47 - 13:22?,1:25,Hour Adjustment (24h)
What is 03:36 + 16:31?,20:07,Hour Adjustment (24h)
What is 13:22 + 09:03?,22:25,Hour Adjustment (24h)
What is 10:54 - 21:00?,13:54,Hour Adjustment (24h)
What is 16:30 + 19:10?,11:40,Hour Adjustment (24h)
What is 18:59 - 21:10?,21:49,Hour Adjustment (24h)
What is 03:56 + 03:30?,7:26,Hour Adjustment (24h)
What is 15:24 + 19:42?,11:06,Hour Adjustment (24h)
What is 22:33 - 20:40?,1:53,Hour Adjustment (24h)
What is 04:01 + 08:03?,12:04,Hour Adjustment (24h)
What is 16:32 + 20:01?,12:33,Hour Adjustment (24h)
What is 03:57 + 11:33?,15:30,Hour Adjustment (24h)
What is 08:05 - 21:50?,10:15,Hour Adjustment (24h)
What is 18:38 - 09:57?,8:41,Hour Adjustment (24h)
What is 12:15 - 10:01?,2:14,Hour Adjustment (24h)
What is 10:08 - 08:22?,1:46,Hour Adjustment (24h)
What is 16:34 - 05:20?,11:14,Hour Adjustment (24h)
What is 20:03 - 13:39?,6:24,Hour Adjustment (24h)
What is 23:09 - 00:51?,22:18,Hour Adjustment (24h)
What is 06:38 - 03:16?,3:22,Hour Adjustment (24h)
What is 19:22 - 19:14?,0:08,Hour Adjustment (24h)
What is 01:43 + 13:20?,15:03,Hour Adjustment (24h)
What is 01:29 + 09:58?,11:27,Hour Adjustment (24h)
What is 07:15 - 02:04?,5:11,Hour Adjustment (24h)
What is 10:08 + 12:05?,22:13,Hour Adjustment (24h)
What is 20:10 - 20:08?,0:02,Hour Adjustment (24h)
What is 11:26 - 21:56?,13:30,Hour Adjustment (24h)
What is 06:22 - 19:24?,10:58,Hour Adjustment (24h)
What is 21:38 + 20:43?,18:21,Hour Adjustment (24h)
What is 08:42 + 07:58?,16:40,Hour Adjustment (24h)
What is 06:18 + 15:35?,21:53,Hour Adjustment (24h)
What is 21:58 + 14:01?,11:59,Hour Adjustment (24h)
What is 04:09 + 14:33?,18:42,Hour Adjustment (24h)
What is 20:43 + 08:50?,5:33,Hour Adjustment (24h)
What is 06:09 - 02:22?,3:47,Hour Adjustment (24h)
What is 22:38 + 02:58?,1:36,Hour Adjustment (24h)
What is 21:42 - 06:02?,15:40,Hour Adjustment (24h)
What is 19:16 - 05:31?,13:45,Hour Adjustment (24h)
What is 01:51 + 05:50?,7:41,Hour Adjustment (24h)
What is 21:11 - 01:30?,19:41,Hour Adjustment (24h)
What is 08:03 + 19:20?,3:23,Hour Adjustment (24h)
What is 13:21 - 19:30?,17:51,Hour Adjustment (24h)
What is 16:22 - 10:15?,6:07,Hour Adjustment (24h)
What is 20:37 + 16:42?,13:19,Hour Adjustment (24h)
What is 03:03 + 10:50?,13:53,Hour Adjustment (24h)
What is 01:49 + 15:56?,17:45,Hour Adjustment (24h)
What is 12:25 + 16:29?,4:54,Hour Adjustment (24h)
What is 17:54 + 09:50?,3:44,Hour Adjustment (24h)
What is 22:28 + 21:17?,19:45,Hour Adjustment (24h)
What is 03:11 - 13:10?,14:01,Hour Adjustment (24h)
What is 17:01 + 00:03?,17:04,Hour Adjustment (24h)
What is 10:55 - 07:08?,3:47,Hour Adjustment (24h)
What is 05:01 - 03:00?,2:01,Hour Adjustment (24h)
What is 10:33 + 08:07?,18:40,Hour Adjustment (24h)
What is 01:03 + 04:31?,5:34,Hour Adjustment (24h)
What is 00:37 + 23:00?,23:37,Hour Adjustment (24h)
What is 19:17 - 07:34?,11:43,Hour Adjustment (24h)
What is 01:44 - 12:51?,12:53,Hour Adjustment (24h)
What is 09:19 + 09:33?,18:52,Hour Adjustment (24h)
What is 05:35 + 05:35?,11:10,Hour Adjustment (24h)
What is 03:11 + 04:27?,7:38,Hour Adjustment (24h)
What is 21:41 - 12:40?,9:01,Hour Adjustment (24h)
What is 01:44 + 00:27?,2:11,Hour Adjustment (24h)
What is 19:44 - 00:17?,19:27,Hour Adjustment (24h)
What is 03:21 + 11:48?,15:09,Hour Adjustment (24h)
What is 21:22 - 19:46?,1:36,Hour Adjustment (24h)
What is 03:45 - 17:38?,10:07,Hour Adjustment (24h)
What is 11:42 - 11:35?,0:07,Hour Adjustment (24h)
What is 09:30 - 14:33?,18:57,Hour Adjustment (24h)
What is 11:21 + 06:35?,17:56,Hour Adjustment (24h)
What is 20:14 + 17:12?,13:26,Hour Adjustment (24h)
What is 08:06 - 08:22?,23:44,Hour Adjustment (24h)
What is 17:41 - 10:54?,6:47,Hour Adjustment (24h)
What is 01:55 + 23:06?,1:01,Hour Adjustment (24h)
What is 01:46 - 07:24?,18:22,Hour Adjustment (24h)
What is 05:10 - 03:36?,1:34,Hour Adjustment (24h)
What is 12:50 - 00:04?,12:46,Hour Adjustment (24h)
What is 01:31 + 12:42?,14:13,Hour Adjustment (24h)
What is 12:33 + 22:49?,11:22,Hour Adjustment (24h)
What is 12:36 + 18:28?,7:04,Hour Adjustment (24h)
What is 10:09 - 20:11?,13:58,Hour Adjustment (24h)
What is 14:03 + 01:29?,15:32,Hour Adjustment (24h)
What is 17:32 - 17:35?,23:57,Hour Adjustment (24h)
What is 13:23 + 00:55?,14:18,Hour Adjustment (24h)
What is 11:23 - 08:13?,3:10,Hour Adjustment (24h)
What is 14:17 + 15:21?,5:38,Hour Adjustment (24h)
What is 05:49 - 22:08?,7:41,Hour Adjustment (24h)
What is 01:33 + 18:00?,19:33,Hour Adjustment (24h)
What is 21:11 + 06:23?,3:34,Hour Adjustment (24h)
What is 23:40 - 14:16?,9:24,Hour Adjustment (24h)
What is 12:15 + 04:34?,16:49,Hour Adjustment (24h)
What is 02:29 + 07:57?,10:26,Hour Adjustment (24h)
What is 16:14 + 23:02?,15:16,Hour Adjustment (24h)
What is 17:19 + 01:07?,18:26,Hour Adjustment (24h)
What is 12:10 - 13:04?,23:06,Hour Adjustment (24h)
What is 04:09 + 05:52?,10:01,Hour Adjustment (24h)
What is 23:09 - 00:03?,23:06,Hour Adjustment (24h)
What is 04:41 - 21:28?,7:13,Hour Adjustment (24h)
What is 06:24 - 04:12?,2:12,Hour Adjustment (24h)
What is 17:40 + 17:49?,11:29,Hour Adjustment (24h)
What is 02:45 + 08:15?,11:00,Hour Adjustment (24h)
What is 06:52 + 14:26?,21:18,Hour Adjustment (24h)
What is 14:51 + 00:02?,14:53,Hour Adjustment (24h)
What is 13:42 - 03:45?,9:57,Hour Adjustment (24h)
What is 15:11 - 06:10?,9:01,Hour Adjustment (24h)
What is 03:14 + 07:13?,10:27,Hour Adjustment (24h)
What is 08:51 - 01:23?,7:28,Hour Adjustment (24h)
What is 04:41 + 19:32?,0:13,Hour Adjustment (24h)
