Question,Option A,Option B,Option C,Option D,Answer,Category
What is 18:36 - 17:14?,0:11,22:08,1:22,3:37,C,Hour Adjustment (24h)
What is 21:30 - 06:47?,17:03,18:01,14:43,11:42,C,Hour Adjustment (24h)
What is 05:22 + 17:18?,0:55,1:42,22:40,21:25,C,Hour Adjustment (24h)
What is 02:55 + 06:28?,12:25,11:42,9:23,8:21,C,Hour Adjustment (24h)
What is 12:16 + 02:27?,16:47,14:43,11:24,17:01,B,Hour Adjustment (24h)
What is 18:11 + 22:21?,15:26,14:20,16:32,15:20,C,Hour Adjustment (24h)
What is 15:35 - 01:42?,11:40,13:53,16:12,10:34,B,Hour Adjustment (24h)
What is 23:03 - 12:08?,10:55,12:13,7:42,7:38,A,Hour Adjustment (24h)
What is 07:02 - 09:59?,0:18,21:03,22:05,17:51,B,Hour Adjustment (24h)
What is 22:11 - 22:52?,22:04,22:06,23:19,22:17,C,Hour Adjustment (24h)
What is 07:04 - 22:58?,9:21,5:54,5:59,8:06,D,Hour Adjustment (24h)
What is 08:09 + 16:45?,23:42,2:11,21:50,0:54,D,Hour Adjustment (24h)
What is 00:53 - 14:04?,14:00,9:38,13:57,10:49,D,Hour Adjustment (24h)
What is 21:58 + 19:45?,14:37,19:01,15:34,17:43,D,Hour Adjustment (24h)
What is 00:13 - 13:18?,10:55,14:06,9:38,13:56,A,Hour Adjustment (24h)
What is 06:12 + 01:51?,8:03,4:43,9:14,10:09,A,Hour Adjustment (24h)
What is 22:07 + 08:40?,9:03,3:38,6:47,9:06,C,Hour Adjustment (24h)
What is 21:29 + 06:30?,2:57,1:43,3:59,5:14,C,Hour Adjustment (24h)
What is 05:13 - 10:36?,21:46,18:37,19:39,19:43,B,Hour Adjustment (24h)
What is 20:24 + 23:11?,22:50,18:25,18:22,19:35,D,Hour Adjustment (24h)
What is 13:45 - 17:18?,22:38,23:36,17:12,20:27,D,Hour Adjustment (24h)
What is 06:51 - 16:37?,10:57,11:02,12:10,14:14,D,Hour Adjustment (24h)
What is 12:48 + 22:37?,13:41,9:16,11:25,9:11,C,Hour Adjustment (24h)
What is 01:25 + 19:45?,18:51,21:10,0:17,17:50,B,Hour Adjustment (24h)
What is 08:06 - 13:32?,21:44,19:54,18:34,20:49,C,Hour Adjustment (24h)
What is 13:26 + 13:40?,0:02,5:21,5:17,3:06,D,Hour Adjustment (24h)
What is 15:46 - 02:58?,12:48,10:43,11:47,10:45,A,Hour Adjustment (24h)
What is 10:01 - 14:31?,18:28,22:50,19:30,16:19,C,Hour Adjustment (24h)
What is 14:48 - 09:55?,3:35,2:39,4:53,2:33,C,Hour Adjustment (24h)
What is 20:17 + 13:23?,7:27,7:38,6:36,9:40,D,Hour Adjustment (24h)
What is 13:35 + 16:06?,9:01,5:41,2:32,7:43,B,Hour Adjustment (24h)
What is 22:08 - 17:36?,7:38,4:32,3:23,1:14,B,Hour Adjustment (24h)
What is 15:02 - 03:10?,10:42,8:33,11:52,13:00,C,Hour Adjustment (24h)
What is 23:25 - 08:46?,13:33,15:44,15:50,14:39,D,Hour Adjustment (24h)
What is 14:19 + 22:27?,11:34,14:57,12:46,10:41,C,Hour Adjustment (24h)
What is 05:41 - 18:53?,10:48,14:00,9:33,8:47,A,Hour Adjustment (24h)
What is 10:24 + 01:51?,14:24,14:35,10:09,12:15,D,Hour Adjustment (24h)
What is 21:23 + 09:17?,5:37,6:40,5:34,8:58,B,Hour Adjustment (24h)
What is 19:34 + 21:09?,19:59,16:43,13:32,13:38,B,Hour Adjustment (24h)
What is 10:48 + 05:30?,16:18,12:59,17:20,12:58,A,Hour Adjustment (24h)
What is 15:31 - 15:36?,22:51,20:41,1:57,23:55,D,Hour Adjustment (24h)
What is 10:56 - 17:11?,17:45,18:47,15:41,16:35,A,Hour Adjustment (24h)
What is 09:18 + 12:28?,0:05,21:46,23:57,0:49,B,Hour Adjustment (24h)
What is 18:25 - 19:36?,22:49,20:48,2:03,0:56,A,Hour Adjustment (24h)
What is 20:13 - 23:18?,17:51,0:07,20:55,18:52,C,Hour Adjustment (24h)
What is 20:58 + 01:30?,22:28,1:33,1:32,23:47,A,Hour Adjustment (24h)
What is 08:24 - 07:01?,22:10,1:23,23:08,2:40,B,Hour Adjustment (24h)
What is 21:05 + 10:34?,9:51,9:53,7:39,6:25,C,Hour Adjustment (24h)
What is 17:51 + 21:40?,12:24,15:31,17:47,18:40,B,Hour Adjustment (24h)
What is 16:10 - 18:17?,20:43,21:53,1:03,18:51,B,Hour Adjustment (24h)
What is 09:44 - 16:49?,18:09,16:55,13:48,19:00,B,Hour Adjustment (24h)
What is 18:20 + 10:38?,4:58,6:02,1:47,8:06,A,Hour Adjustment (24h)
What is 02:40 - 03:32?,2:22,23:08,1:20,19:59,B,Hour Adjustment (24h)
What is 03:36 - 06:29?,22:22,21:07,0:15,22:13,B,Hour Adjustment (24h)
What is 02:12 + 17:32?,16:43,19:44,21:57,20:49,B,Hour Adjustment (24h)
What is 01:56 - 15:15?,10:41,13:50,8:25,12:46,A,Hour Adjustment (24h)
What is 23:50 + 11:33?,11:23,14:40,8:05,12:28,A,Hour Adjustment (24h)
What is 01:15 + 01:52?,1:02,23:59,3:07,0:57,C,Hour Adjustment (24h)
What is 21:14 + 00:56?,0:30,0:14,22:10,0:22,C,Hour Adjustment (24h)
What is 07:40 - 16:35?,12:57,17:09,11:48,15:05,D,Hour Adjustment (24h)
What is 00:34 + 14:09?,14:43,13:25,17:56,16:50,A,Hour Adjustment (24h)
What is 10:21 + 07:10?,16:14,20:47,16:27,17:31,D,Hour Adjustment (24h)
What is 13:01 - 18:13?,22:03,16:30,15:41,18:48,D,Hour Adjustment (24h)
What is 18:43 + 22:07?,18:57,15:35,13:32,16:50,D,Hour Adjustment (24h)
What is 18:18 - 16:19?,22:53,1:59,4:05,23:43,B,Hour Adjustment (24h)
What is 08:18 - 01:38?,3:39,6:40,9:53,7:41,B,Hour Adjustment (24h)
What is 01:18 + 04:55?,9:21,6:13,5:03,3:59,B,Hour Adjustment (24h)
What is 10:10 + 06:21?,18:51,15:23,16:31,14:18,C,Hour Adjustment (24h)
What is 12:26 + 15:47?,6:31,7:28,5:29,4:13,D,Hour Adjustment (24h)
What is 15:47 - 19:14?,23:43,23:40,22:41,20:33,D,Hour Adjustment (24h)
What is 14:57 + 11:18?,22:55,1:09,2:15,23:05,C,Hour Adjustment (24h)
What is 18:25 + 19:06?,14:34,13:31,16:43,10:29,B,Hour Adjustment (24h)
What is 00:23 + 10:21?,10:44,11:51,14:03,9:24,A,Hour Adjustment (24h)
What is 05:08 - 20:12?,12:16,11:04,10:16,8:56,D,Hour Adjustment (24h)
What is 07:07 - 07:59?,21:50,1:24,23:08,0:10,C,Hour Adjustment (24h)
What is 10:43 + 15:30?,23:03,0:11,2:13,3:30,C,Hour Adjustment (24h)
What is 13:35 + 15:50?,8:33,5:25,6:44,2:09,B,Hour Adjustment (24h)
What is 02:23 + 22:45?,2:17,1:08,4:27,0:05,B,Hour Adjustment (24h)
What is 10:38 - 02:13?,10:32,7:19,8:25,9:27,C,Hour Adjustment (24h)
What is 12:40 + 14:22?,5:19,0:50,6:05,3:02,D,Hour Adjustment (24h)
What is 05:18 + 23:29?,1:31,3:40,4:47,6:57,C,Hour Adjustment (24h)
What is 09:25 + 09:33?,18:58,17:46,17:48,22:13,A,Hour Adjustment (24h)
What is 15:27 + 20:06?,12:52,12:39,10:21,11:33,D,Hour Adjustment (24h)
What is 12:52 + 00:06?,14:05,16:17,10:48,12:58,D,Hour Adjustment (24h)
What is 18:31 + 12:16?,3:41,5:41,6:47,5:40,C,Hour Adjustment (24h)
What is 16:02 - 19:43?,23:33,22:34,20:19,18:10,C,Hour Adjustment (24h)
What is 14:53 + 20:47?,9:21,11:40,14:52,12:51,B,Hour Adjustment (24h)
What is 11:47 - 19:48?,15:59,14:41,14:47,19:00,A,Hour Adjustment (24h)
What is 17:02 + 16:37?,11:59,9:39,8:26,11:57,B,Hour Adjustment (24h)
What is 23:17 - 18:17?,5:00,2:41,3:52,2:50,A,Hour Adjustment (24h)
What is 12:59 - 01:28?,11:31,10:20,10:13,12:37,A,Hour Adjustment (24h)
What is 13:13 - 17:42?,17:18,21:41,20:35,19:31,D,Hour Adjustment (24h)
What is 18:04 - 18:48?,22:07,23:16,0:17,20:09,B,Hour Adjustment (24h)
What is 04:49 + 12:19?,20:10,18:28,17:08,14:06,C,Hour Adjustment (24h)
What is 22:36 + 22:27?,18:50,23:06,21:03,17:44,C,Hour Adjustment (24h)
What is 15:49 - 06:29?,9:20,8:07,8:03,10:23,A,Hour Adjustment (24h)
What is 17:43 - 15:35?,3:24,0:00,4:15,2:08,D,Hour Adjustment (24h)
What is 09:48 - 20:19?,13:29,12:26,12:15,12:09,A,Hour Adjustment (24h)
What is 21:32 - 12:56?,5:34,6:29,8:36,11:46,C,Hour Adjustment (24h)
What is 05:47 - 06:56?,22:51,20:34,19:44,0:52,A,Hour Adjustment (24h)
What is 00:00 + 13:20?,13:20,11:03,15:33,15:24,A,Hour Adjustment (24h)
What is 11:47 - 05:18?,8:32,7:37,4:14,6:29,D,Hour Adjustment (24h)
What is 19:02 + 14:48?,8:41,13:07,10:56,9:50,D,Hour Adjustment (24h)
What is 23:39 - 19:37?,2:01,2:56,4:02,1:42,C,Hour Adjustment (24h)
What is 07:45 - 15:50?,15:55,13:50,14:54,17:12,A,Hour Adjustment (24h)
What is 08:40 + 09:46?,17:07,18:26,17:14,16:22,B,Hour Adjustment (24h)
What is 22:55 + 03:36?,0:30,0:17,2:31,5:37,C,Hour Adjustment (24h)
What is 05:57 - 13:50?,13:48,18:19,16:07,17:12,C,Hour Adjustment (24h)
What is 14:11 + 17:51?,6:43,10:14,4:59,8:02,D,Hour Adjustment (24h)
What is 20:49 - 23:05?,18:31,21:44,0:01,18:30,B,Hour Adjustment (24h)
What is 20:21 + 01:04?,18:09,21:25,19:22,18:10,B,Hour Adjustment (24h)
What is 17:57 - 04:18?,11:19,14:45,14:41,13:39,D,Hour Adjustment (24h)
What is 23:49 + 11:30?,12:38,9:00,8:01,11:19,D,Hour Adjustment (24h)
What is 03:36 + 23:08?,6:00,5:51,23:42,2:44,D,Hour Adjustment (24h)
What is 02:24 - 21:10?,6:29,5:14,2:12,1:58,B,Hour Adjustment (24h)
What is 03:34 + 17:04?,19:19,20:38,23:49,21:55,B,Hour Adjustment (24h)
What is 07:54 + 14:27?,1:27,22:21,21:04,1:25,B,Hour Adjustment (24h)
What is 16:44 + 08:56?,1:40,2:41,3:47,2:47,A,Hour Adjustment (24h)
What is 03:22 + 12:41?,16:03,17:18,17:19,12:53,A,Hour Adjustment (24h)
What is 05:53 - 01:57?,7:03,1:41,6:02,3:56,D,Hour Adjustment (24h)
What is 04:58 + 12:53?,15:49,18:53,17:51,16:45,C,Hour Adjustment (24h)
What is 06:32 + 14:27?,17:53,17:52,0:01,20:59,D,Hour Adjustment (24h)
What is 05:50 - 03:35?,3:30,2:15,1:14,23:55,B,Hour Adjustment (24h)
What is 19:59 + 12:24?,6:17,5:21,8:23,6:09,C,Hour Adjustment (24h)
What is 17:15 + 17:27?,9:26,11:57,7:30,10:42,D,Hour Adjustment (24h)
What is 04:23 + 01:23?,8:55,6:47,2:35,5:46,D,Hour Adjustment (24h)
What is 13:07 + 08:57?,21:00,0:12,20:02,22:04,D,Hour Adjustment (24h)
What is 06:47 - 11:59?,18:48,17:35,16:29,20:52,A,Hour Adjustment (24h)
What is 07:15 - 12:58?,17:08,18:17,15:13,19:37,B,Hour Adjustment (24h)
What is 12:56 - 01:38?,12:26,13:32,11:18,14:36,C,Hour Adjustment (24h)
What is 05:29 - 12:43?,17:58,16:46,15:28,15:39,B,Hour Adjustment (24h)
What is 14:17 + 08:57?,22:11,0:21,23:14,2:18,C,Hour Adjustment (24h)
What is 18:11 + 05:59?,21:50,22:50,0:10,22:02,C,Hour Adjustment (24h)
What is 21:47 + 12:00?,9:47,12:49,6:28,12:59,A,Hour Adjustment (24h)
What is 18:14 + 17:43?,13:00,13:10,9:55,11:57,D,Hour Adjustment (24h)
What is 15:15 - 11:31?,4:53,4:58,2:35,3:44,D,Hour Adjustment (24h)
What is 10:32 + 02:16?,15:54,15:52,9:43,12:48,D,Hour Adjustment (24h)
What is 14:53 + 13:25?,7:33,3:11,5:30,4:18,D,Hour Adjustment (24h)
What is 19:59 + 13:51?,7:47,12:03,6:41,9:50,D,Hour Adjustment (24h)
What is 15:08 + 17:11?,5:10,11:37,10:27,8:19,D,Hour Adjustment (24h)
What is 22:16 + 01:19?,1:47,20:21,23:35,21:18,C,Hour Adjustment (24h)
What is 04:41 - 11:40?,14:46,20:03,17:01,14:57,C,Hour Adjustment (24h)
What is 19:18 + 22:37?,14:41,14:43,16:50,17:55,D,Hour Adjustment (24h)
What is 12:26 - 08:02?,5:31,6:33,4:24,1:09,C,Hour Adjustment (24h)
What is 06:21 - 05:34?,0:47,2:04,23:44,23:41,A,Hour Adjustment (24h)
What is 17:29 + 05:58?,23:27,22:09,21:23,20:21,A,Hour Adjustment (24h)
What is 11:04 - 08:58?,4:24,3:24,2:06,5:15,C,Hour Adjustment (24h)
What is 13:24 + 04:48?,15:09,21:16,18:12,19:21,C,Hour Adjustment (24h)
What is 15:27 + 21:19?,9:33,11:27,12:46,9:45,C,Hour Adjustment (24h)
What is 09:11 + 01:24?,9:19,8:15,10:35,8:24,C,Hour Adjustment (24h)
What is 07:29 - 11:57?,16:23,17:31,19:32,20:40,C,Hour Adjustment (24h)
What is 13:46 - 07:48?,2:47,7:09,5:58,4:42,C,Hour Adjustment (24h)
What is 03:49 - 01:02?,1:34,0:39,5:02,2:47,D,Hour Adjustment (24h)
What is 22:36 + 22:43?,23:27,23:37,21:19,23:38,C,Hour Adjustment (24h)
What is 16:54 + 15:26?,5:09,8:20,5:12,10:38,B,Hour Adjustment (24h)
What is 23:53 + 21:59?,21:52,18:44,23:53,20:41,A,Hour Adjustment (24h)
What is 20:14 + 14:03?,10:17,6:59,13:22,13:23,A,Hour Adjustment (24h)
What is 18:20 - 19:50?,21:27,19:23,22:30,19:20,C,Hour Adjustment (24h)
What is 05:24 + 12:07?,20:49,17:31,16:28,16:21,B,Hour Adjustment (24h)
What is 18:48 + 21:54?,16:42,18:55,14:41,14:39,A,Hour Adjustment (24h)
What is 22:34 - 09:44?,10:41,12:50,10:40,14:10,B,Hour Adjustment (24h)
What is 12:55 - 02:52?,7:56,7:58,7:59,10:03,D,Hour Adjustment (24h)
What is 15:41 + 22:26?,14:07,16:17,12:48,11:49,A,Hour Adjustment (24h)
What is 00:11 + 10:34?,7:25,9:33,8:43,10:45,D,Hour Adjustment (24h)
What is 08:32 + 07:22?,13:39,17:09,14:36,15:54,D,Hour Adjustment (24h)
What is 17:28 - 03:06?,11:06,15:31,16:40,14:22,D,Hour Adjustment (24h)
What is 06:19 - 16:57?,16:39,16:29,13:22,14:34,C,Hour Adjustment (24h)
What is 23:22 - 10:24?,9:39,12:58,15:02,15:00,B,Hour Adjustment (24h)
What is 07:32 - 02:14?,3:04,8:37,5:18,3:17,C,Hour Adjustment (24h)
What is 08:45 + 10:44?,22:36,20:49,21:42,19:29,D,Hour Adjustment (24h)
What is 06:19 + 10:13?,16:32,14:24,15:17,18:43,A,Hour Adjustment (24h)
What is 06:38 + 19:32?,5:28,0:00,1:06,2:10,D,Hour Adjustment (24h)
What is 12:48 + 00:03?,14:10,12:51,11:37,15:05,B,Hour Adjustment (24h)
What is 15:08 - 08:12?,6:56,9:09,4:54,3:47,A,Hour Adjustment (24h)
What is 18:15 - 11:31?,4:42,4:25,6:44,3:30,C,Hour Adjustment (24h)
What is 15:05 + 00:14?,14:08,17:27,16:28,15:19,D,Hour Adjustment (24h)
What is 13:39 - 22:26?,18:20,15:13,13:01,17:16,B,Hour Adjustment (24h)
What is 11:24 + 15:03?,2:27,23:21,5:44,4:45,A,Hour Adjustment (24h)
What is 08:03 - 00:30?,6:27,5:23,10:39,7:33,D,Hour Adjustment (24h)
What is 23:56 - 17:07?,7:53,6:49,10:09,10:05,B,Hour Adjustment (24h)
What is 05:16 + 05:35?,12:53,13:04,10:51,9:32,C,Hour Adjustment (24h)
What is 15:35 - 08:48?,5:27,4:41,6:47,5:38,C,Hour Adjustment (24h)
What is 07:08 - 15:57?,17:29,16:29,15:11,13:03,C,Hour Adjustment (24h)
What is 09:07 + 03:40?,13:57,12:47,15:07,14:51,B,Hour Adjustment (24h)
What is 22:57 + 15:48?,17:56,15:50,14:45,12:38,C,Hour Adjustment (24h)
What is 06:58 + 02:35?,10:42,10:50,6:19,9:33,D,Hour Adjustment (24h)
What is 06:40 - 09:20?,21:20,0:30,0:38,18:01,A,Hour Adjustment (24h)
What is 06:47 + 09:05?,14:46,13:33,15:52,12:44,C,Hour Adjustment (24h)
What is 22:13 - 11:00?,12:25,11:13,13:23,7:58,B,Hour Adjustment (24h)
What is 18:49 - 09:29?,9:20,10:24,12:22,7:02,A,Hour Adjustment (24h)
What is 15:05 + 10:45?,5:06,0:42,23:40,1:50,D,Hour Adjustment (24h)
What is 10:48 + 22:58?,11:00,7:27,9:46,6:34,C,Hour Adjustment (24h)
What is 17:37 - 00:21?,17:16,18:33,14:05,20:18,A,Hour Adjustment (24h)
What is 05:08 - 00:41?,6:30,1:18,4:27,5:40,C,Hour Adjustment (24h)
What is 08:58 + 00:33?,8:14,12:32,8:20,9:31,D,Hour Adjustment (24h)
What is 02:47 + 11:44?,13:24,11:28,13:23,14:31,D,Hour Adjustment (24h)
What is 07:57 - 14:18?,20:45,18:56,17:39,19:42,C,Hour Adjustment (24h)
What is 08:30 + 14:57?,1:35,23:27,22:10,0:30,B,Hour Adjustment (24h)
What is 10:30 - 18:16?,16:14,14:58,19:16,17:16,A,Hour Adjustment (24h)
What is 16:27 - 02:08?,15:33,11:07,14:19,11:13,C,Hour Adjustment (24h)
What is 16:30 + 11:21?,2:37,4:56,2:50,3:51,D,Hour Adjustment (24h)
What is 13:20 + 23:19?,9:24,11:27,10:33,12:39,D,Hour Adjustment (24h)
What is 21:10 - 10:22?,10:48,11:51,8:28,9:34,A,Hour Adjustment (24h)
What is 13:57 - 00:11?,12:37,13:46,16:59,15:05,B,Hour Adjustment (24h)
What is 11:34 - 01:13?,13:28,7:09,10:21,7:17,C,Hour Adjustment (24h)
What is 01:56 - 19:42?,6:14,4:13,7:24,7:26,A,Hour Adjustment (24h)
What is 21:08 + 06:22?,5:41,4:38,4:47,3:30,D,Hour Adjustment (24h)
What is 09:13 - 06:04?,23:58,0:55,6:10,3:09,D,Hour Adjustment (24h)
What is 23:59 - 10:26?,10:30,13:33,14:51,12:15,B,Hour Adjustment (24h)
What is 02:29 + 15:00?,20:48,16:13,17:29,19:40,C,Hour Adjustment (24h)
What is 09:33 + 16:21?,4:55,1:54,3:08,0:51,B,Hour Adjustment (24h)
What is 10:16 + 14:38?,22:45,3:55,22:42,0:54,D,Hour Adjustment (24h)
What is 08:08 - 13:49?,15:18,18:19,16:02,19:29,B,Hour Adjustment (24h)
What is 14:07 + 10:13?,22:18,3:39,21:03,0:20,D,Hour Adjustment (24h)
What is 06:29 - 03:30?,2:59,1:41,1:49,4:12,A,Hour Adjustment (24h)
What is 05:30 - 12:24?,17:06,14:03,15:53,19:24,A,Hour Adjustment (24h)
What is 14:32 - 18:24?,17:04,16:59,20:08,16:58,C,Hour Adjustment (24h)
What is 05:51 - 11:59?,21:05,17:52,20:11,19:06,B,Hour Adjustment (24h)
What is 09:52 + 22:36?,10:38,11:36,7:16,8:28,D,Hour Adjustment (24h)
What is 06:28 + 01:15?,8:46,5:42,5:34,7:43,D,Hour Adjustment (24h)
What is 02:25 + 10:31?,11:51,11:49,14:16,12:56,D,Hour Adjustment (24h)
What is 17:57 + 22:00?,15:57,12:43,14:51,12:41,A,Hour Adjustment (24h)
What is 22:56 + 02:44?,0:32,0:38,1:40,0:21,C,Hour Adjustment (24h)
What is 16:32 - 08:37?,5:35,11:01,7:55,8:57,C,Hour Adjustment (24h)
What is 08:07 + 04:56?,10:56,13:03,9:51,16:05,B,Hour Adjustment (24h)
What is 08:56 + 09:13?,15:55,19:26,14:53,18:09,D,Hour Adjustment (24h)
What is 11:49 - 20:54?,18:10,18:08,18:12,14:55,D,Hour Adjustment (24h)
What is 19:00 - 23:42?,20:35,18:09,17:11,19:18,D,Hour Adjustment (24h)
What is 09:55 - 17:54?,15:00,16:01,13:52,18:03,B,Hour Adjustment (24h)
What is 07:19 - 18:18?,13:01,11:58,9:56,16:14,A,Hour Adjustment (24h)
What is 12:32 - 16:50?,18:33,18:28,19:42,22:49,C,Hour Adjustment (24h)
What is 22:46 + 05:52?,6:46,4:38,2:30,7:44,B,Hour Adjustment (24h)
What is 10:37 - 01:45?,8:52,7:49,9:57,6:50,A,Hour Adjustment (24h)
What is 01:17 - 22:16?,1:59,0:58,3:01,1:45,C,Hour Adjustment (24h)
What is 11:32 + 04:19?,15:51,18:02,18:53,13:36,A,Hour Adjustment (24h)
What is 01:34 + 16:58?,20:42,18:32,19:50,17:26,B,Hour Adjustment (24h)
What is 11:30 + 09:33?,21:03,19:46,23:09,22:10,A,Hour Adjustment (24h)
What is 11:30 - 11:05?,22:06,0:25,21:19,22:22,B,Hour Adjustment (24h)
What is 01:10 + 06:02?,9:23,9:25,7:12,6:10,C,Hour Adjustment (24h)
What is 05:56 - 01:45?,5:29,3:00,1:04,4:11,D,Hour Adjustment (24h)
What is 10:48 - 16:39?,16:51,16:08,16:01,18:09,D,Hour Adjustment (24h)
What is 17:28 + 01:28?,20:58,17:50,18:56,17:48,C,Hour Adjustment (24h)
What is 15:41 - 07:16?,7:06,10:40,8:25,10:43,C,Hour Adjustment (24h)
What is 06:22 - 10:23?,19:59,17:42,22:06,16:41,A,Hour Adjustment (24h)
What is 12:25 + 18:52?,5:09,4:14,7:17,6:00,C,Hour Adjustment (24h)
What is 07:31 + 09:10?,19:01,16:41,15:22,19:52,B,Hour Adjustment (24h)
What is 13:19 + 09:26?,1:05,0:48,23:59,22:45,D,Hour Adjustment (24h)
What is 09:36 + 08:49?,16:15,18:25,20:41,19:43,B,Hour Adjustment (24h)
What is 02:41 + 06:05?,10:04,8:46,7:38,5:38,B,Hour Adjustment (24h)
What is 12:53 + 08:09?,21:02,0:19,0:11,19:49,A,Hour Adjustment (24h)
What is 02:07 - 06:17?,23:05,19:50,22:55,22:09,B,Hour Adjustment (24h)
What is 15:54 - 11:56?,3:58,6:00,1:48,0:50,A,Hour Adjustment (24h)
What is 23:23 - 01:15?,23:28,22:08,0:14,1:23,B,Hour Adjustment (24h)
What is 14:29 - 03:29?,8:42,9:55,11:00,13:03,C,Hour Adjustment (24h)
What is 19:10 + 12:12?,6:08,7:22,9:34,8:26,B,Hour Adjustment (24h)
What is 08:27 - 07:16?,3:25,0:08,1:11,0:09,C,Hour Adjustment (24h)
What is 00:21 + 04:37?,1:45,4:58,1:50,2:41,B,Hour Adjustment (24h)
What is 07:48 - 21:20?,10:28,13:32,12:32,7:08,A,Hour Adjustment (24h)
What is 16:16 + 03:59?,16:57,23:27,20:15,22:32,C,Hour Adjustment (24h)
What is 00:31 + 10:46?,10:14,12:22,11:17,14:32,C,Hour Adjustment (24h)
What is 00:36 - 00:38?,2:14,23:58,3:12,2:59,B,Hour Adjustment (24h)
What is 22:16 + 04:57?,4:20,3:13,5:18,1:08,B,Hour Adjustment (24h)
What is 04:10 - 18:10?,6:56,10:00,11:13,8:56,B,Hour Adjustment (24h)
What is 23:00 + 07:16?,4:11,6:16,7:24,7:29,B,Hour Adjustment (24h)
What is 07:32 - 01:45?,4:41,5:47,7:04,6:52,B,Hour Adjustment (24h)
What is 03:28 + 21:58?,2:39,22:09,22:06,1:26,D,Hour Adjustment (24h)
What is 04:35 + 22:35?,6:30,3:10,6:21,2:02,B,Hour Adjustment (24h)
What is 02:51 - 02:58?,20:34,23:53,2:07,21:48,B,Hour Adjustment (24h)
What is 14:52 + 02:15?,17:07,14:54,13:49,14:48,A,Hour Adjustment (24h)
What is 00:30 - 20:50?,2:34,2:20,3:40,6:49,C,Hour Adjustment (24h)
What is 20:52 + 10:54?,9:55,7:46,10:59,8:50,B,Hour Adjustment (24h)
What is 14:56 - 09:39?,3:13,7:26,8:19,5:17,D,Hour Adjustment (24h)
What is 01:53 + 09:46?,10:20,13:53,12:47,11:39,D,Hour Adjustment (24h)
What is 13:47 - 16:31?,22:25,23:31,21:16,0:36,C,Hour Adjustment (24h)
What is 01:40 + 00:52?,5:38,0:16,3:42,2:32,D,Hour Adjustment (24h)
